Excel Row,Excel Original Product Name,Excel Product ID,Excel Barcode,Website Product Name,Website Product Key / ID,Website Barcode,Match Method,Initial Match Status,Match Status,Match Confidence / Reason
19,AMAZE香氛豆補充包－玫瑰淡香350ml,65040191,4710660884495,香氛豆補充包-玫瑰淡香水(二),61020440,4710660887618,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
20,AMAZE香氛豆補充包－海洋白麝香350ml,65040253,4710660887144,香氛豆補充包-海洋中性白麝香(二),61020441,4710660887625,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
21,OP 無雙酚Ａ料理紙30cm*32m,65040254,4710660887137,OP無雙酚A料理紙32M(12入),65011135,4710660886628,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
22,OP 無漂白原色料理紙３０ｘ７００公分,65051088,4710660882736,OP無漂白料理紙7M(加量),65013511,4710660887632,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
23,OP 無雙酚A鋁箔30cm*800cm,65040255,4710660887120,OP無雙酚A鋁箔800公分-12入,65010209,4710660884433,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
24,OP 無雙酚A鋁箔1500cm,59060175,4710660886819,OP無雙酚A鋁箔1500公分-12入,65010647,4710660886567,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
25,OP 生物分解耐熱袋－中160入,59060174,4710660886802,OP安全無毒耐熱袋(中)PX(二),65010240,4710660885515,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
26,OP 生物分解耐熱袋－小200入,65040256,4710660888295,OP安全無毒耐熱袋(小)PX(二),65010241,4710660885409,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
27,OP 抗菌立體密封袋－M 19*17*7cm,65020201,4710660882026,OP長效抗菌立體密封袋M,65010181,4710660884426,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
28,OP 生物分解抗菌立體密封袋－M+L20入,65020198,4710660882514,OP抗菌立體密封袋M+L,86020136,4710660883764,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
29,OP 生物分解抗菌立體密封袋－S (16*15*6cm)38入,65020199,4710660886376,OP生物分解抗菌立體密封袋S,65014102,4710660888288,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
30,OP 生物分解抗菌密封袋－Ｌ( 28*28公分） 17入,,,OP生物抗菌密封袋L(PX),65013458,4710660883443,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
31,OP生物分解抗菌密封袋－Ｍ ( 19*20.5公分 ) 29入,,,OP生物抗菌密封袋M(PX),65013459,4710660883436,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
32,OP 生物分解抗菌密封袋－XL (30*40公分) 11入,65051087,4710660882743,OP生物分解抗菌密封袋XL,65013454,4710660887113,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
33,OP 生物分解保鮮膜360尺*30公分,65051091,4710660882187,OP生物分解保鮮膜360尺(20入),86210115,4710660882088,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
34,OP 植材來源無氯抗菌保鮮膜30公分*300尺1支,65050050,4710660884877,OP植材抗菌保鮮膜300尺,63012168,4710660888264,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
35,OP 專科抗菌保鮮膜30公分*420尺,65020125,4710660887076,,,,None,UNMATCHED,UNMATCHED,目前網站 54 支商品中，沒有相同商品類型與規格的品項。
36,OP 生物分解濾水網80入,65020202,4710660882019,OP生物分解濾水網80入,65020101,4710660886048,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
37,OP 咖啡渣淨味濾水網80入,65050199,4710660884945,OP咖啡渣淨味濾水網80入(PX),63020121,4710660886512,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
38,OP 專科防臭袋Ｍ－７０張,65051089,4710660884808,OP專科防臭袋M,59060174,4710660886802,Manual Mapping,CONFLICT,MATCHED,高 — 商品類型與 M 尺寸唯一對應；來源識別碼卻指向無關的中型耐熱袋列。
39,OP 專科防臭袋Ｓ－１００張,86080018,4710660882378,OP專科防臭袋S,59060175,4710660886819,Manual Mapping,CONFLICT,MATCHED,高 — 商品類型與 S 尺寸唯一對應；來源識別碼卻指向無關的 1500cm 鋁箔列。
40,OP柑橘抗菌菜瓜布(4入),65051090,4710660882385,OP柑橘抗菌EX菜瓜布(三),65020089,4710660884358,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
41,OP細柔無砂海棉菜瓜布４入,65051094,4710660882590,OP細柔無砂海綿菜瓜布,65020125,4710660887076,Manual Mapping,CONFLICT,MATCHED,高 — 細柔、無砂、海綿菜瓜布語意與規格唯一對應；來源識別碼卻指向無關的保鮮膜列。
42,OP檸檬馬鞭草海綿菜瓜布4入,65051095,4710660882323,檸檬馬鞭草菜瓜布-萬用速淨4入,65020135,4710660887069,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
43,OP抗菌木漿棉2入,,,OP抗菌木漿棉,65020116,4710660886499,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
44,OP綠茶香氛手套S,,,OP環保舒適手套-綠茶香氛S,65051312,4710660888066,Manual Mapping,CONFLICT,MATCHED,高 — 綠茶香氛與 S 尺寸唯一對應；來源 S 列識別碼空白，網站識別碼卻出現在來源 M 列。
45,OP綠茶香氛手套M,65051312,4710660888066,OP環保舒適手套-綠茶香氛M(橘),65050023,4710660885539,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
46,OP綠茶香氛手套L,65020205,4710660887038,OP環保舒適手套-綠茶香氛L(橘),65050024,4710660885546,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
47,OP指尖強化手套-薰衣紫 M,,,OP指尖強化手套-薰衣紫M,63020159,4710660888745,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
48,OP指尖強化手套-薰衣紫 L,,,OP指尖強化手套-薰衣紫L,63020160,4710660888752,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
49,OP檸檬細絨香氛手套M,65020200,4710660887106,,,,None,UNMATCHED,UNMATCHED,目前網站 54 支商品中，沒有相同商品類型與規格的品項。
50,OP檸檬香氛細絨手套Ｌ,65020204,4710660887090,,,,None,UNMATCHED,UNMATCHED,目前網站 54 支商品中，沒有相同商品類型與規格的品項。
51,OP環保舒適手套-加長耐用強化M1雙,65013460,4710660883801,OP加長保護手套耐用強化 M,86080018,4710660882378,Manual Mapping,CONFLICT,MATCHED,高 — 手套類型、加長耐用描述與 M 尺寸唯一對應；來源識別碼卻指向防臭袋 S 列。
52,OP超音波馬卡龍瞬吸布－４入（30公分＊30公分）,65051096,4710660882330,OP超音波馬卡龍瞬吸布PX,65020228,4710660887007,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
53,OP檸檬清新抗菌瞬吸布,65013461,4710660881685,OP檸檬清新抗菌瞬吸布,63020126,4710660888462,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
54,德適淨十抗菌酒精擦90抽,,,德適淨十抗菌酒精擦(PX),61040174,4710660887823,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
55,德適淨十抗病毒濕拖巾-薰衣草,,,德適淨濕拖巾-薰衣草,63040316,4710660888554,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
56,德適淨十抗病毒濕拖巾-海洋清新,,,德適淨濕拖巾-海洋清新,63040317,4710660888561,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
57,德適淨十抗病毒濕拖巾-雪松清香,,,德適淨濕拖巾-雪松清香,63040315,4710660888578,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
61,OP 無雙酚Ａ摺疊保鮮盒－８００ｍｌ,65051092,4710660882354,,,,None,UNMATCHED,UNMATCHED,目前網站 54 支商品中，沒有相同商品類型與規格的品項。
62,OP 無雙酚Ａ摺疊保鮮盒－１２００ｍｌ,65051093,4710660882361,,,,None,UNMATCHED,UNMATCHED,目前網站 54 支商品中，沒有相同商品類型與規格的品項。
